Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
2289290533,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darnell Mooney (15608011) (LOCKED),Darius Slayton (15607849) (LOCKED),Evan Engram (15608123) (LOCKED),James Robinson (15607607) (LOCKED),Ravens (15608281) (LOCKED),,1. Column A lists all of your contest entries for this draftgroup
2289467283,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Darnell Mooney (15608011) (LOCKED),Calvin Ridley (15607805) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),James Robinson (15607607) (LOCKED),Broncos (15608286) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
2289467284,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Kenny Golladay (15607831) (LOCKED),Terry McLaurin (15607841) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Tyler Eifert (15608145) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Ravens (15608281) (LOCKED),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
2289467285,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Justin Jefferson (15607835) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Jets (15608299),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
2289467286,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Justin Jefferson (15607835) (LOCKED),Terry McLaurin (15607841) (LOCKED),Adam Thielen (15607807) (LOCKED),Hayden Hurst (15608125) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Bengals (15608302) (LOCKED),,5. For faster processing only include entries you are changing in the file you upload
2289467287,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),Julio Jones (15607815) (LOCKED),Jarvis Landry (15607865) (LOCKED),Adam Thielen (15607807) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Ronald Jones II (15607621),Bengals (15608302) (LOCKED),,
2289467288,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Kalif Raymond (15607945) (LOCKED),Darius Slayton (15607849) (LOCKED),Darren Fells (15608137) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2289467371,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Mike Davis (15607603) (LOCKED),Derrick Henry (15607597) (LOCKED),A.J. Brown (15607845) (LOCKED),Jarvis Landry (15607865) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darren Fells (15608137) (LOCKED),Ronald Jones II (15607621),Broncos (15608286) (LOCKED),,WR,Allen Lazard (15607855),Allen Lazard,15607855,WR/FLEX,5100,GB@TB 10/18/2020 04:25PM ET,GB,18.37
2289467372,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Mike Davis (15607603) (LOCKED),James Robinson (15607607) (LOCKED),Danny Amendola (15607903) (LOCKED),A.J. Brown (15607845) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Eric Ebron (15608131) (LOCKED),Aaron Jones (15607595),Giants (15608289) (LOCKED),,TE,Robert Tonyan (15608117),Robert Tonyan,15608117,TE/FLEX,5100,GB@TB 10/18/2020 04:25PM ET,GB,15.08
2289467373,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Justin Jefferson (15607835) (LOCKED),Calvin Ridley (15607805) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Trey Burton (15608155) (LOCKED),David Montgomery (15607623) (LOCKED),Bears (15608287) (LOCKED),,QB,Jalen Hurts (15607564) (LOCKED),Jalen Hurts,15607564,QB,5000,In Progress,PHI,0.83
2289467374,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Terry McLaurin (15607841) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Darius Slayton (15607849) (LOCKED),T.J. Hockenson (15608113) (LOCKED),James Robinson (15607607) (LOCKED),Bengals (15608302) (LOCKED),,TE,Zach Ertz (15608121) (LOCKED),Zach Ertz,15608121,TE/FLEX,5000,In Progress,PHI,8.5
2289467375,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),David Johnson (15607627) (LOCKED),David Montgomery (15607623) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darius Slayton (15607849) (LOCKED),Adam Thielen (15607807) (LOCKED),Evan Engram (15608123) (LOCKED),Ronald Jones II (15607621),Colts (15608283) (LOCKED),,WR,T.Y. Hilton (15607861) (LOCKED),T.Y. Hilton,15607861,WR/FLEX,5000,In Progress,IND,8.42
2289467376,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Joe Mixon (15607615) (LOCKED),David Montgomery (15607623) (LOCKED),A.J. Brown (15607845) (LOCKED),Brandin Cooks (15607859) (LOCKED),Adam Humphries (15607909) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,QB,Alex Smith (15607562) (LOCKED),Alex Smith,15607562,QB,5000,In Progress,WAS,1.58
2289467377,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ben Roethlisberger (15607537) (LOCKED),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Odell Beckham Jr. (15607823) (LOCKED),Chase Claypool (15607853) (LOCKED),Darius Slayton (15607849) (LOCKED),Eric Ebron (15608131) (LOCKED),David Montgomery (15607623) (LOCKED),Vikings (15608300) (LOCKED),,QB,Dwayne Haskins Jr. (15607563) (LOCKED),Dwayne Haskins Jr.,15607563,QB,5000,In Progress,WAS,15.14
2289467378,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Kenny Golladay (15607831) (LOCKED),Terry McLaurin (15607841) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Browns (15608296) (LOCKED),,TE,Jimmy Graham (15608119) (LOCKED),Jimmy Graham,15608119,TE/FLEX,5000,In Progress,CHI,11.58
2289467379,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Mike Evans (15607811),Adam Thielen (15607807) (LOCKED),Marquez Valdes-Scantling (15607883),Rob Gronkowski (15608127),Phillip Lindsay (15607651) (LOCKED),Dolphins (15608293),,WR,Brandin Cooks (15607859) (LOCKED),Brandin Cooks,15607859,WR/FLEX,5000,In Progress,HOU,11.38
2289467380,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Mike Evans (15607811),Chris Godwin (15607821),Malik Taylor (15607977),Eric Ebron (15608131) (LOCKED),David Montgomery (15607623) (LOCKED),Giants (15608289) (LOCKED),,RB,Leonard Fournette (15607635),Leonard Fournette,15607635,RB/FLEX,5000,GB@TB 10/18/2020 04:25PM ET,TB,12.57
2289467381,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),Alexander Mattison (15607599) (LOCKED),Robby Anderson (15607825) (LOCKED),Julio Jones (15607815) (LOCKED),Darnell Mooney (15608011) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Aaron Jones (15607595),WAS Football Team (15608288) (LOCKED),,QB,Blake Bortles (15607565) (LOCKED),Blake Bortles,15607565,QB,5000,In Progress,DEN,0
2289467382,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Justin Jefferson (15607835) (LOCKED),Darius Slayton (15607849) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Eric Ebron (15608131) (LOCKED),Alexander Mattison (15607599) (LOCKED),Packers (15608284),,RB,Damien Harris (15607637) (LOCKED),Damien Harris,15607637,RB/FLEX,5000,In Progress,NE,13
2289467383,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Russell Gage (15607873) (LOCKED),Justin Jefferson (15607835) (LOCKED),Jarvis Landry (15607865) (LOCKED),Kyle Rudolph (15608139) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Colts (15608283) (LOCKED),,WR,Keelan Cole (15607867) (LOCKED),Keelan Cole,15607867,WR/FLEX,4900,In Progress,JAX,12.22
2289467384,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Julio Jones (15607815) (LOCKED),Terry McLaurin (15607841) (LOCKED),Calvin Ridley (15607805) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),David Johnson (15607627) (LOCKED),Browns (15608296) (LOCKED),,RB,Devonta Freeman (15607639) (LOCKED),Devonta Freeman,15607639,RB/FLEX,4900,In Progress,NYG,9.5
2289467385,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Philip Rivers (15607547) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Tyler Boyd (15607839) (LOCKED),A.J. Brown (15607845) (LOCKED),T.Y. Hilton (15607861) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Patriots (15608282) (LOCKED),,TE,Evan Engram (15608123) (LOCKED),Evan Engram,15608123,TE/FLEX,4900,In Progress,NYG,7.92
2289467386,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Kareem Hunt (15607605) (LOCKED),David Montgomery (15607623) (LOCKED),Danny Amendola (15607903) (LOCKED),Kenny Golladay (15607831) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Jonnu Smith (15608115) (LOCKED),Joe Mixon (15607615) (LOCKED),Patriots (15608282) (LOCKED),,WR,Diontae Johnson (15607863) (LOCKED),Diontae Johnson,15607863,WR/FLEX,4900,In Progress,PIT,8.9
2289467387,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Jarvis Landry (15607865) (LOCKED),Terry McLaurin (15607841) (LOCKED),JuJu Smith-Schuster (15607817) (LOCKED),Austin Hooper (15608135) (LOCKED),Ronald Jones II (15607621),Patriots (15608282) (LOCKED),,WR,Jarvis Landry (15607865) (LOCKED),Jarvis Landry,15607865,WR/FLEX,4900,In Progress,CLE,10.88
2289467388,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Derrick Henry (15607597) (LOCKED),Alexander Mattison (15607599) (LOCKED),Danny Amendola (15607903) (LOCKED),Keelan Cole (15607867) (LOCKED),Darius Slayton (15607849) (LOCKED),T.J. Hockenson (15608113) (LOCKED),David Montgomery (15607623) (LOCKED),Packers (15608284),,QB,Jeff Driskel (15607566) (LOCKED),Jeff Driskel,15607566,QB,4900,In Progress,DEN,10.69
2289467389,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Alexander Mattison (15607599) (LOCKED),David Montgomery (15607623) (LOCKED),Tee Higgins (15607879) (LOCKED),Jarvis Landry (15607865) (LOCKED),Calvin Ridley (15607805) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Aaron Jones (15607595),Bears (15608287) (LOCKED),,QB,Matt Schaub (15607569) (LOCKED),Matt Schaub,15607569,QB,4800,In Progress,ATL,0
2289467390,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Alexander Mattison (15607599) (LOCKED),David Montgomery (15607623) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Terry McLaurin (15607841) (LOCKED),Tyler Eifert (15608145) (LOCKED),Ronald Jones II (15607621),Patriots (15608282) (LOCKED),,WR,Russell Gage (15607873) (LOCKED),Russell Gage,15607873,WR/FLEX,4800,In Progress,ATL,10.44
2289467391,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Brandin Cooks (15607859) (LOCKED),Kalif Raymond (15607945) (LOCKED),Calvin Ridley (15607805) (LOCKED),Jonnu Smith (15608115) (LOCKED),Joe Mixon (15607615) (LOCKED),Patriots (15608282) (LOCKED),,WR,Sterling Shepard (15607871) (LOCKED),Sterling Shepard,15607871,WR/FLEX,4800,In Progress,NYG,8.1
2289467392,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kyle Allen (15607561) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Terry McLaurin (15607841) (LOCKED),Golden Tate (15607885) (LOCKED),Adam Thielen (15607807) (LOCKED),Logan Thomas (15608151) (LOCKED),Ronald Jones II (15607621),Ravens (15608281) (LOCKED),,QB,AJ McCarron (15607568) (LOCKED),AJ McCarron,15607568,QB,4800,In Progress,HOU,0
2289467393,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Keelan Cole (15607867) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Trey Burton (15608155) (LOCKED),Aaron Jones (15607595),Bears (15608287) (LOCKED),,WR,Corey Davis (15607869) (LOCKED),Corey Davis,15607869,WR/FLEX,4800,In Progress,TEN,14.87
2289467394,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Chase Claypool (15607853) (LOCKED),Julio Jones (15607815) (LOCKED),Adam Thielen (15607807) (LOCKED),Hayden Hurst (15608125) (LOCKED),Phillip Lindsay (15607651) (LOCKED),Bengals (15608302) (LOCKED),,QB,Mason Rudolph (15607567) (LOCKED),Mason Rudolph,15607567,QB,4800,In Progress,PIT,0
2289467395,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),David Montgomery (15607623) (LOCKED),D'Andre Swift (15607647) (LOCKED),Terry McLaurin (15607841) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Adam Thielen (15607807) (LOCKED),Tyler Eifert (15608145) (LOCKED),Aaron Jones (15607595),Colts (15608283) (LOCKED),,RB,James White (15607641) (LOCKED),James White,15607641,RB/FLEX,4800,In Progress,NE,10.55
2289467396,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),Alexander Mattison (15607599) (LOCKED),David Montgomery (15607623) (LOCKED),A.J. Brown (15607845) (LOCKED),DJ Chark Jr. (15607827) (LOCKED),Keelan Cole (15607867) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Joe Mixon (15607615) (LOCKED),Vikings (15608300) (LOCKED),,WR,Preston Williams (15607875),Preston Williams,15607875,WR/FLEX,4700,NYJ@MIA 10/18/2020 04:05PM ET,MIA,9.7
2289467397,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Lamar Jackson (15607534) (LOCKED),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Miles Boykin (15607919) (LOCKED),John Hightower (15608101) (LOCKED),Terry McLaurin (15607841) (LOCKED),Mark Andrews (15608107) (LOCKED),David Montgomery (15607623) (LOCKED),Bears (15608287) (LOCKED),,WR,Zach Pascal (15607877) (LOCKED),Zach Pascal,15607877,WR/FLEX,4700,In Progress,IND,6.48
2289467398,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Julio Jones (15607815) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Darius Slayton (15607849) (LOCKED),Kyle Rudolph (15608139) (LOCKED),Alexander Mattison (15607599) (LOCKED),Eagles (15608298) (LOCKED),,WR,Tee Higgins (15607879) (LOCKED),Tee Higgins,15607879,WR/FLEX,4700,In Progress,CIN,10.14
2289467399,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Daniel Jones (15607553) (LOCKED),James Conner (15607601) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Darius Slayton (15607849) (LOCKED),Isaiah Wright (15608019) (LOCKED),Evan Engram (15608123) (LOCKED),Aaron Jones (15607595),Patriots (15608282) (LOCKED),,RB,Adrian Peterson (15607643) (LOCKED),Adrian Peterson,15607643,RB/FLEX,4700,In Progress,DET,9.4
2289467400,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),Todd Gurley II (15607613) (LOCKED),David Montgomery (15607623) (LOCKED),Will Fuller V (15607813) (LOCKED),Adam Humphries (15607909) (LOCKED),Terry McLaurin (15607841) (LOCKED),Jonnu Smith (15608115) (LOCKED),Aaron Jones (15607595),Browns (15608296) (LOCKED),,TE,Hayden Hurst (15608125) (LOCKED),Hayden Hurst,15608125,TE/FLEX,4700,In Progress,ATL,8.8
2289467401,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),A.J. Brown (15607845) (LOCKED),Russell Gage (15607873) (LOCKED),Justin Jefferson (15607835) (LOCKED),Hayden Hurst (15608125) (LOCKED),Aaron Jones (15607595),Bengals (15608302) (LOCKED),,QB,Case Keenum (15607570) (LOCKED),Case Keenum,15607570,QB,4700,In Progress,CLE,0
2289467402,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Julio Jones (15607815) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Jonnu Smith (15608115) (LOCKED),Ronald Jones II (15607621),Jets (15608299),,WR,Alshon Jeffery (15607881) (LOCKED),Alshon Jeffery,15607881,WR/FLEX,4600,In Progress,PHI,0
2289467403,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Aaron Rodgers (15607535),Derrick Henry (15607597) (LOCKED),James Robinson (15607607) (LOCKED),Terry McLaurin (15607841) (LOCKED),Scotty Miller (15607899),Marquez Valdes-Scantling (15607883),Robert Tonyan (15608117),David Montgomery (15607623) (LOCKED),Dolphins (15608293),,QB,Sean Mannion (15607571) (LOCKED),Sean Mannion,15607571,QB,4600,In Progress,MIN,0
2289467404,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Kirk Cousins (15607543) (LOCKED),Alexander Mattison (15607599) (LOCKED),James Robinson (15607607) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darnell Mooney (15608011) (LOCKED),Calvin Ridley (15607805) (LOCKED),Kyle Rudolph (15608139) (LOCKED),Aaron Jones (15607595),Bengals (15608302) (LOCKED),,WR,Golden Tate (15607885) (LOCKED),Golden Tate,15607885,WR/FLEX,4600,In Progress,NYG,8.12
2289467405,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Russell Gage (15607873) (LOCKED),Adam Thielen (15607807) (LOCKED),Olamide Zaccheaus (15607949) (LOCKED),Eric Ebron (15608131) (LOCKED),Aaron Jones (15607595),WAS Football Team (15608288) (LOCKED),,WR,Marquez Valdes-Scantling (15607883),Marquez Valdes-Scantling,15607883,WR/FLEX,4600,GB@TB 10/18/2020 04:25PM ET,GB,9.75
2289467406,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ryan Tannehill (15607546) (LOCKED),James Conner (15607601) (LOCKED),David Johnson (15607627) (LOCKED),A.J. Brown (15607845) (LOCKED),Terry McLaurin (15607841) (LOCKED),Darnell Mooney (15608011) (LOCKED),Jonnu Smith (15608115) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,RB,Rex Burkhead (15607645) (LOCKED),Rex Burkhead,15607645,RB/FLEX,4600,In Progress,NE,13.22
2289467407,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Alexander Mattison (15607599) (LOCKED),David Montgomery (15607623) (LOCKED),Odell Beckham Jr. (15607823) (LOCKED),Jarvis Landry (15607865) (LOCKED),Darius Slayton (15607849) (LOCKED),Eric Ebron (15608131) (LOCKED),Ronald Jones II (15607621),Ravens (15608281) (LOCKED),,DST,Ravens  (15608281) (LOCKED),Ravens ,15608281,DST,4500,In Progress,BAL,13.8
2289467408,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Baker Mayfield (15607549) (LOCKED),Alexander Mattison (15607599) (LOCKED),James Robinson (15607607) (LOCKED),Odell Beckham Jr. (15607823) (LOCKED),Jarvis Landry (15607865) (LOCKED),James Washington (15607901) (LOCKED),Jonnu Smith (15608115) (LOCKED),Jonathan Taylor (15607611) (LOCKED),Giants (15608289) (LOCKED),,QB,Jacoby Brissett (15607574) (LOCKED),Jacoby Brissett,15607574,QB,4500,In Progress,IND,0.34
2289467409,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matt Ryan (15607538) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Russell Gage (15607873) (LOCKED),Calvin Ridley (15607805) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Irv Smith Jr. (15608243) (LOCKED),Ronald Jones II (15607621),Colts (15608283) (LOCKED),,QB,Mike Glennon (15607573) (LOCKED),Mike Glennon,15607573,QB,4500,In Progress,JAX,0
2289467410,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Philip Rivers (15607547) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),A.J. Green (15607913) (LOCKED),T.Y. Hilton (15607861) (LOCKED),Zach Pascal (15607877) (LOCKED),T.J. Hockenson (15608113) (LOCKED),Aaron Jones (15607595),Ravens (15608281) (LOCKED),,RB,D'Andre Swift (15607647) (LOCKED),D'Andre Swift,15607647,RB/FLEX,4500,In Progress,DET,10.4
2289467411,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Carson Wentz (15607550) (LOCKED),Derrick Henry (15607597) (LOCKED),David Montgomery (15607623) (LOCKED),Marquise Brown (15607819) (LOCKED),Travis Fulgham (15607893) (LOCKED),Terry McLaurin (15607841) (LOCKED),Zach Ertz (15608121) (LOCKED),Aaron Jones (15607595),Bengals (15608302) (LOCKED),,QB,Will Grier (15607572) (LOCKED),Will Grier,15607572,QB,4500,In Progress,CAR,0
2289467412,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Ben Roethlisberger (15607537) (LOCKED),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Jarvis Landry (15607865) (LOCKED),Terry McLaurin (15607841) (LOCKED),James Washington (15607901) (LOCKED),Eric Ebron (15608131) (LOCKED),Aaron Jones (15607595),Colts (15608283) (LOCKED),,WR,N'Keal Harry (15607887) (LOCKED),N'Keal Harry,15607887,WR/FLEX,4500,In Progress,NE,9.95
2289467413,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Matthew Stafford (15607542) (LOCKED),Derrick Henry (15607597) (LOCKED),D'Andre Swift (15607647) (LOCKED),Kenny Golladay (15607831) (LOCKED),Terry McLaurin (15607841) (LOCKED),Adam Thielen (15607807) (LOCKED),Tyler Eifert (15608145) (LOCKED),Ronald Jones II (15607621),WAS Football Team (15608288) (LOCKED),,WR,Tim Patrick (15607889) (LOCKED),Tim Patrick,15607889,WR/FLEX,4500,In Progress,DEN,12.98
2289467414,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Tom Brady (15607540),David Montgomery (15607623) (LOCKED),James Robinson (15607607) (LOCKED),Davante Adams (15607803),Mike Evans (15607811),Scotty Miller (15607899),Trey Burton (15608155) (LOCKED),David Johnson (15607627) (LOCKED),WAS Football Team (15608288) (LOCKED),,WR,Travis Fulgham (15607893) (LOCKED),Travis Fulgham,15607893,WR/FLEX,4400,In Progress,PHI,23.95
2289467415,NFL $3.75M Fantasy Football Millionaire [$1M to 1st + ToC Entry],94210980,$20,Gardner Minshew II (15607541) (LOCKED),James Conner (15607601) (LOCKED),David Montgomery (15607623) (LOCKED),Keelan Cole (15607867) (LOCKED),Marvin Jones Jr. (15607857) (LOCKED),Laviska Shenault Jr. (15607851) (LOCKED),Jonnu Smith (15608115) (LOCKED),Todd Gurley II (15607613) (LOCKED),Colts (15608283) (LOCKED),,RB,J.D. McKissic (15607649) (LOCKED),J.D. McKissic,15607649,RB/FLEX,4400,In Progress,WAS,7.18
